"Balance of international payments, current account, seasonally adjusted, quarterly (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 36-10-0018-01 (formerly CANSIM 376-0105)"
"Release date: 2021-11-29"
"Geography: Canada"
""
""

,,"Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Receipts, payments and balances","Current account","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021"
"Receipts, seasonally adjusted",,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total current account","152,825","158,698","169,378","169,741","152,161","131,642","124,901","125,948","130,905","136,034","137,350","138,100","146,350","149,604","151,337","158,730","163,421","161,261","157,674","158,199","159,387","161,876","164,218","167,505","168,860","177,498","184,858","184,386","183,095","180,695","183,377","188,546","184,688","184,111","180,346","188,592","196,196","200,016","202,898","194,591","204,337","210,459","220,575","225,449","216,936","222,733","232,886","225,901","227,506","210,354","173,358","198,897","210,685","221,741","222,719","234,201"
,"Goods and services","130,011","136,749","148,093","150,210","134,891","115,106","107,614","110,138","115,221","118,369","120,231","120,816","126,524","130,499","131,564","138,509","143,682","140,597","138,620","136,665","138,729","141,872","144,025","145,224","145,867","153,090","160,102","161,212","158,708","155,087","157,666","162,434","158,767","158,824","152,098","160,461","166,710","170,053","171,656","161,837","169,779","174,386","183,557","187,170","177,577","182,497","190,702","187,334","184,654","172,630","137,196","166,460","171,697","183,040","184,211","193,088"
,"Goods","110,550","116,991","127,787","129,461","113,946","95,199","87,705","90,314","94,884","98,383","100,245","100,492","105,732","109,762","110,005","116,523","121,295","117,882","115,575","113,646","115,536","118,430","120,055","120,702","121,330","128,376","134,393","135,353","132,507","128,574","130,539","134,983","131,218","130,376","123,618","131,327","136,981","139,857","141,091","131,131","138,446","141,083","149,708","152,732","142,642","146,576","153,184","148,978","146,826","138,252","107,367","136,115","140,449","151,869","152,957","160,424"
,"Services 2","19,461","19,758","20,305","20,749","20,945","19,907","19,909","19,824","20,337","19,985","19,987","20,324","20,792","20,737","21,558","21,986","22,387","22,716","23,045","23,018","23,193","23,442","23,970","24,522","24,537","24,715","25,709","25,859","26,201","26,514","27,127","27,451","27,549","28,448","28,481","29,134","29,729","30,196","30,565","30,706","31,333","33,303","33,849","34,438","34,935","35,921","37,518","38,356","37,829","34,378","29,829","30,345","31,248","31,171","31,253","32,664"
,"Primary income","20,271","19,251","18,958","16,982","14,590","14,182","14,821","13,571","13,693","15,024","15,056","15,071","17,722","16,803","17,442","17,975","17,209","18,491","16,846","19,294","18,357","17,958","17,433","19,880","20,509","21,342","22,293","20,702","21,706","22,859","23,020","23,112","23,433","22,654","23,664","25,220","26,366","27,034","28,262","29,640","31,630","32,769","33,525","34,831","35,702","36,512","38,492","34,981","38,444","34,485","32,506","29,030","35,561","34,662","35,351","36,797"
,"Compensation of employees","310","339","342","344","357","345","343","340","333","313","310","310","302","304","302","302","306","315","316","313","310","338","342","346","351","367","371","374","380","392","400","415","423","427","424","426","432","405","423","413","404","408","422","427","421","430","438","439","433","390","239","236","237","244","248","256"
,"Investment income","19,961","18,912","18,615","16,638","14,233","13,837","14,477","13,231","13,359","14,711","14,746","14,761","17,419","16,499","17,140","17,673","16,903","18,176","16,530","18,981","18,047","17,620","17,092","19,534","20,158","20,975","21,921","20,328","21,326","22,467","22,620","22,697","23,011","22,226","23,240","24,794","25,934","26,629","27,839","29,228","31,226","32,361","33,103","34,403","35,280","36,081","38,054","34,542","38,011","34,095","32,268","28,794","35,323","34,418","35,103","36,541"
,"Direct investment income","11,167","10,268","10,297","8,471","6,735","6,403","7,851","7,137","7,639","9,038","9,076","9,009","11,489","10,730","11,215","11,430","10,611","11,680","9,809","12,337","11,223","10,751","10,009","12,272","12,751","13,035","13,854","12,193","12,982","13,784","13,712","13,065","12,903","12,156","12,954","14,095","14,838","15,621","16,794","18,206","19,662","20,197","20,194","20,443","20,863","21,253","22,508","18,851","21,673","19,275","17,662","15,736","22,966","22,241","23,416","23,966"
,"Portfolio investment income 3 4","5,537","5,651","5,591","5,805","5,225","5,777","5,003","4,658","4,450","4,400","4,445","4,404","4,691","4,552","4,611","4,949","4,920","5,029","5,258","5,246","5,459","5,595","5,743","5,880","5,928","6,335","6,291","6,449","6,678","6,822","7,059","7,482","7,719","7,830","7,801","7,944","8,238","8,177","8,367","8,165","8,390","8,757","9,049","9,255","9,395","9,608","9,775","9,837","9,989","9,885","10,044","10,037","9,871","10,018","9,862","10,330"
,"Other investment income 3 4","3,258","2,993","2,728","2,363","2,273","1,656","1,623","1,436","1,270","1,272","1,225","1,348","1,239","1,216","1,315","1,295","1,372","1,467","1,462","1,398","1,365","1,274","1,340","1,382","1,479","1,605","1,776","1,685","1,666","1,861","1,848","2,149","2,388","2,240","2,485","2,756","2,859","2,831","2,678","2,856","3,174","3,408","3,860","4,705","5,022","5,221","5,772","5,854","6,350","4,935","4,562","3,021","2,487","2,159","1,825","2,245"
,"Secondary income","2,543","2,698","2,328","2,548","2,680","2,355","2,466","2,239","1,991","2,641","2,063","2,214","2,104","2,302","2,332","2,246","2,530","2,172","2,208","2,241","2,301","2,046","2,760","2,401","2,484","3,066","2,464","2,472","2,680","2,749","2,691","3,001","2,488","2,634","4,584","2,911","3,120","2,929","2,980","3,114","2,927","3,304","3,493","3,448","3,657","3,724","3,692","3,586","4,407","3,238","3,656","3,407","3,427","4,040","3,158","4,316"
,"Private transfers 5","500","639","646","695","694","885","878","856","856","733","710","742","715","813","807","828","833","819","838","820","818","797","1,208","813","837","802","840","845","870","863","898","920","911","948","2,865","982","983","932","952","925","930","1,027","1,071","1,041","1,070","1,076","1,154","1,174","1,165","1,192","1,242","1,286","1,259","1,210","1,224","1,272"
,"Government transfers","2,043","2,059","1,682","1,854","1,986","1,469","1,588","1,383","1,136","1,908","1,352","1,472","1,388","1,489","1,524","1,418","1,697","1,353","1,370","1,421","1,482","1,249","1,552","1,588","1,647","2,264","1,624","1,626","1,810","1,886","1,793","2,080","1,577","1,686","1,718","1,929","2,137","1,997","2,028","2,190","1,997","2,277","2,423","2,407","2,588","2,649","2,538","2,413","3,242","2,046","2,414","2,121","2,169","2,830","1,934","3,044"
"Payments, seasonally adjusted","Total current account","150,934","155,007","163,809","165,666","163,056","142,307","135,841","138,967","141,995","149,351","151,853","158,135","157,846","163,009","165,052","168,653","174,489","174,448","175,002","175,486","176,163","176,995","179,817","181,567","183,839","189,303","195,074","193,934","197,803","200,014","200,031","204,229","202,601","202,754","198,153","205,003","205,889","212,592","217,856","211,419","219,973","225,515","233,141","234,641","233,263","240,759","240,136","238,537","236,635","228,504","179,117","209,911","215,176","220,101","221,351","232,833"
,"Goods and services","124,908","128,508","136,011","139,059","137,090","120,414","113,590","116,976","119,769","124,389","127,871","132,307","132,587","136,124","139,577","142,208","146,604","146,913","148,232","147,379","146,612","149,246","150,821","153,051","153,684","157,716","163,155","163,472","166,833","168,726","169,322","172,625","172,347","172,443","168,390","173,043","171,993","177,766","183,472","176,329","182,686","187,064","193,442","193,976","191,784","197,747","197,064","194,759","192,016","191,444","145,514","175,987","180,399","181,462","184,053","191,292"
,"Goods","101,580","104,851","111,983","114,597","112,510","95,790","89,688","93,341","95,501","99,048","102,255","106,530","106,170","109,920","112,294","114,909","119,273","118,905","119,856","118,622","117,788","119,969","121,247","122,962","123,582","126,926","131,648","131,925","134,553","135,909","135,766","138,837","138,552","138,125","134,065","138,318","136,842","141,884","147,281","140,171","145,688","148,514","153,909","153,825","151,722","156,162","155,391","153,028","149,391","148,793","116,280","146,648","150,287","150,957","152,707","157,368"
,"Services 2","23,328","23,658","24,028","24,461","24,580","24,624","23,902","23,635","24,268","25,340","25,616","25,777","26,416","26,205","27,283","27,299","27,331","28,008","28,376","28,757","28,824","29,277","29,574","30,089","30,102","30,791","31,507","31,547","32,280","32,816","33,556","33,788","33,796","34,318","34,325","34,725","35,151","35,882","36,192","36,158","36,998","38,549","39,533","40,151","40,062","41,585","41,672","41,731","42,624","42,651","29,234","29,339","30,112","30,505","31,347","33,924"
,"Primary income","23,179","23,527","24,760","23,708","23,023","18,784","18,855","19,029","19,159","21,784","20,813","21,998","22,451","23,607","22,285","23,190","24,572","24,266","23,315","24,929","26,332","24,465","25,182","25,187","26,843","28,363","28,412","26,847","27,195","27,349","27,368","27,674","26,342","26,369","26,081","28,124","29,987","30,624","30,498","30,750","33,398","34,240","35,257","36,611","36,992","38,546","38,748","38,935","40,083","32,663","29,152","29,551","30,030","33,703","32,900","37,439"
,"Compensation of employees","682","723","749","764","764","703","712","725","738","732","737","748","760","770","775","782","789","765","792","806","814","828","838","848","860","903","921","941","944","932","939","932","931","997","1,011","1,017","1,025","1,176","1,224","1,303","1,374","1,467","1,541","1,617","1,697","1,838","1,945","2,030","2,116","1,558","1,224","1,270","1,314","1,274","1,288","1,320"
,"Investment income","22,497","22,804","24,011","22,944","22,258","18,081","18,143","18,304","18,421","21,052","20,076","21,250","21,692","22,837","21,509","22,408","23,783","23,501","22,523","24,123","25,519","23,637","24,343","24,339","25,983","27,459","27,491","25,906","26,251","26,417","26,430","26,742","25,411","25,373","25,070","27,107","28,962","29,448","29,274","29,447","32,025","32,773","33,716","34,993","35,295","36,709","36,804","36,906","37,967","31,104","27,928","28,282","28,716","32,430","31,612","36,119"
,"Direct investment income","10,030","10,877","12,824","10,766","9,728","7,129","7,205","7,997","8,322","10,411","9,875","10,382","10,617","11,698","10,201","11,089","12,062","11,889","10,553","12,217","13,503","11,730","11,807","11,791","13,414","13,847","14,337","12,549","12,055","12,014","11,571","10,890","9,806","9,195","9,353","10,569","11,972","12,380","11,284","11,430","13,292","13,978","13,457","13,736","13,117","13,871","13,471","13,885","13,565","9,022","6,627","8,253","9,567","12,445","13,907","15,838"
,"Portfolio investment income 3 4","7,657","7,796","8,009","8,464","8,903","8,634","8,544","8,640","8,721","8,859","9,082","9,512","9,776","9,640","9,804","9,966","10,137","10,250","10,433","10,501","10,733","10,562","10,771","10,872","11,102","11,272","11,471","11,737","12,127","12,286","12,700","13,053","13,279","13,516","12,939","13,208","13,306","13,459","14,142","14,193","14,849","14,927","15,785","16,331","16,768","17,029","17,296","16,828","17,040","16,808","16,299","15,871","15,700","15,312","15,215","15,661"
,"Other investment income 3 4","4,810","4,130","3,178","3,713","3,627","2,318","2,395","1,667","1,378","1,783","1,118","1,356","1,298","1,499","1,504","1,354","1,585","1,362","1,536","1,405","1,282","1,344","1,765","1,676","1,467","2,340","1,683","1,621","2,069","2,116","2,160","2,800","2,326","2,661","2,779","3,330","3,684","3,609","3,848","3,824","3,884","3,868","4,474","4,926","5,410","5,809","6,037","6,193","7,361","5,275","5,002","4,157","3,449","4,672","2,490","4,620"
,"Secondary income","2,847","2,972","3,038","2,900","2,943","3,109","3,397","2,962","3,067","3,178","3,168","3,830","2,808","3,277","3,191","3,255","3,314","3,269","3,455","3,179","3,218","3,284","3,815","3,329","3,312","3,224","3,508","3,615","3,775","3,940","3,340","3,930","3,912","3,942","3,683","3,837","3,908","4,203","3,885","4,341","3,888","4,211","4,442","4,054","4,487","4,466","4,324","4,842","4,537","4,397","4,451","4,372","4,748","4,935","4,398","4,102"
,"Private transfers 5","1,724","1,790","1,781","1,777","1,761","2,028","1,994","1,995","1,991","1,950","1,947","1,924","1,971","1,998","1,993","2,010","2,013","2,004","1,970","1,991","2,031","2,124","2,131","2,160","2,143","2,312","2,353","2,318","2,395","2,449","2,451","2,523","2,551","2,513","2,502","2,505","2,543","2,741","2,760","2,760","2,766","2,875","2,904","2,949","2,943","3,077","3,070","3,117","3,210","3,113","3,019","2,961","3,086","3,076","3,120","3,180"
,"Government transfers","1,123","1,182","1,257","1,123","1,182","1,081","1,403","968","1,076","1,229","1,221","1,907","836","1,279","1,198","1,244","1,301","1,264","1,485","1,187","1,186","1,161","1,684","1,168","1,168","912","1,155","1,297","1,380","1,491","889","1,407","1,361","1,428","1,180","1,332","1,366","1,462","1,125","1,581","1,123","1,336","1,538","1,105","1,544","1,389","1,254","1,726","1,327","1,284","1,432","1,411","1,662","1,860","1,278","922"
"Balances, seasonally adjusted","Total current account","1,891","3,691","5,570","4,074","-10,895","-10,665","-10,941","-13,019","-11,090","-13,318","-14,502","-20,035","-11,496","-13,405","-13,715","-9,923","-11,068","-13,187","-17,328","-17,288","-16,776","-15,119","-15,599","-14,062","-14,979","-11,805","-10,216","-9,549","-14,709","-19,319","-16,654","-15,683","-17,913","-18,642","-17,807","-16,411","-9,693","-12,576","-14,958","-16,828","-15,637","-15,056","-12,566","-9,192","-16,327","-18,026","-7,250","-12,635","-9,130","-18,151","-5,759","-11,014","-4,491","1,640","1,368","1,369"
,"Goods and services","5,104","8,240","12,082","11,152","-2,200","-5,309","-5,975","-6,837","-4,548","-6,020","-7,640","-11,491","-6,063","-5,626","-8,013","-3,700","-2,922","-6,316","-9,612","-10,714","-7,883","-7,374","-6,796","-7,827","-7,817","-4,626","-3,053","-2,260","-8,125","-13,639","-11,656","-10,191","-13,580","-13,619","-16,291","-12,582","-5,284","-7,713","-11,816","-14,493","-12,907","-12,677","-9,885","-6,806","-14,207","-15,249","-6,362","-7,425","-7,361","-18,814","-8,318","-9,527","-8,702","1,577","157","1,796"
,"Goods","8,971","12,140","15,805","14,864","1,436","-591","-1,983","-3,027","-617","-665","-2,011","-6,038","-438","-158","-2,288","1,614","2,022","-1,023","-4,282","-4,976","-2,252","-1,540","-1,192","-2,259","-2,251","1,450","2,745","3,428","-2,046","-7,336","-5,227","-3,854","-7,334","-7,749","-10,447","-6,991","139","-2,027","-6,190","-9,040","-7,242","-7,431","-4,202","-1,093","-9,080","-9,586","-2,207","-4,050","-2,566","-10,542","-8,913","-10,533","-9,838","912","251","3,057"
,"Services 2","-3,867","-3,900","-3,723","-3,712","-3,635","-4,717","-3,992","-3,810","-3,931","-5,355","-5,629","-5,452","-5,624","-5,468","-5,725","-5,314","-4,944","-5,292","-5,330","-5,738","-5,631","-5,834","-5,603","-5,567","-5,565","-6,076","-5,798","-5,688","-6,079","-6,303","-6,429","-6,337","-6,246","-5,870","-5,844","-5,591","-5,423","-5,686","-5,627","-5,452","-5,665","-5,246","-5,684","-5,713","-5,127","-5,664","-4,155","-3,375","-4,796","-8,273","595","1,006","1,136","665","-93","-1,260"
,"Primary income","-2,908","-4,275","-5,802","-6,726","-8,433","-4,602","-4,034","-5,458","-5,466","-6,761","-5,757","-6,927","-4,730","-6,804","-4,842","-5,215","-7,363","-5,775","-6,469","-5,635","-7,976","-6,506","-7,748","-5,308","-6,335","-7,020","-6,119","-6,145","-5,489","-4,490","-4,349","-4,563","-2,909","-3,715","-2,416","-2,904","-3,621","-3,589","-2,236","-1,109","-1,768","-1,471","-1,732","-1,780","-1,290","-2,035","-257","-3,955","-1,638","1,822","3,355","-522","5,531","959","2,451","-642"
,"Compensation of employees","-373","-384","-407","-420","-408","-358","-368","-385","-405","-419","-427","-438","-457","-466","-473","-480","-482","-450","-476","-493","-504","-490","-497","-502","-509","-536","-550","-567","-563","-541","-539","-517","-508","-569","-586","-591","-593","-771","-801","-890","-970","-1,059","-1,119","-1,190","-1,276","-1,407","-1,507","-1,591","-1,683","-1,168","-985","-1,034","-1,076","-1,030","-1,041","-1,064"
,"Investment income","-2,535","-3,892","-5,395","-6,306","-8,025","-4,244","-3,666","-5,073","-5,062","-6,342","-5,330","-6,489","-4,272","-6,338","-4,369","-4,735","-6,881","-5,325","-5,993","-5,142","-7,471","-6,017","-7,251","-4,805","-5,825","-6,484","-5,570","-5,579","-4,926","-3,949","-3,810","-4,046","-2,401","-3,146","-1,830","-2,313","-3,028","-2,819","-1,435","-219","-799","-412","-613","-590","-14","-627","1,251","-2,364","44","2,990","4,340","512","6,607","1,989","3,491","422"
,"Direct investment income","1,137","-609","-2,527","-2,296","-2,993","-726","646","-860","-683","-1,372","-799","-1,374","872","-968","1,013","340","-1,451","-209","-744","120","-2,280","-980","-1,799","481","-663","-812","-483","-356","926","1,770","2,142","2,175","3,097","2,960","3,601","3,526","2,865","3,241","5,510","6,777","6,369","6,219","6,737","6,707","7,746","7,382","9,037","4,967","8,108","10,253","11,035","7,483","13,399","9,796","9,509","8,128"
,"Portfolio investment income 3 4","-2,120","-2,145","-2,418","-2,659","-3,678","-2,857","-3,541","-3,982","-4,271","-4,459","-4,637","-5,108","-5,085","-5,087","-5,193","-5,017","-5,217","-5,221","-5,175","-5,255","-5,274","-4,967","-5,028","-4,992","-5,174","-4,937","-5,180","-5,287","-5,448","-5,464","-5,640","-5,571","-5,560","-5,686","-5,138","-5,265","-5,068","-5,282","-5,776","-6,027","-6,459","-6,171","-6,736","-7,076","-7,373","-7,422","-7,521","-6,991","-7,052","-6,923","-6,255","-5,835","-5,829","-5,294","-5,353","-5,331"
,"Other investment income 3 4","-1,552","-1,138","-450","-1,351","-1,354","-661","-772","-231","-108","-510","106","-7","-59","-283","-190","-59","-213","105","-74","-8","83","-70","-425","-294","12","-735","92","64","-404","-255","-311","-650","63","-421","-293","-574","-825","-778","-1,170","-969","-709","-461","-614","-221","-388","-588","-265","-339","-1,012","-339","-440","-1,136","-962","-2,513","-664","-2,375"
,"Secondary income","-304","-274","-710","-352","-262","-754","-931","-723","-1,076","-537","-1,106","-1,617","-704","-975","-860","-1,008","-783","-1,096","-1,247","-938","-917","-1,239","-1,055","-928","-828","-159","-1,044","-1,144","-1,095","-1,191","-649","-930","-1,424","-1,308","901","-926","-789","-1,273","-905","-1,226","-961","-907","-949","-606","-830","-742","-632","-1,256","-130","-1,159","-796","-965","-1,321","-896","-1,240","214"
,"Private transfers 5","-1,224","-1,151","-1,135","-1,082","-1,067","-1,143","-1,116","-1,139","-1,136","-1,217","-1,237","-1,182","-1,256","-1,185","-1,186","-1,182","-1,180","-1,185","-1,132","-1,171","-1,213","-1,327","-924","-1,347","-1,307","-1,510","-1,513","-1,472","-1,525","-1,586","-1,553","-1,603","-1,640","-1,565","363","-1,523","-1,559","-1,808","-1,808","-1,835","-1,836","-1,848","-1,833","-1,909","-1,874","-2,002","-1,916","-1,943","-2,045","-1,920","-1,777","-1,675","-1,827","-1,866","-1,896","-1,908"
,"Government transfers","920","877","425","730","804","388","185","416","60","679","132","-435","552","210","326","174","396","89","-115","233","296","88","-132","419","479","1,352","469","329","430","395","905","674","216","257","538","597","771","535","904","609","874","941","884","1,302","1,044","1,260","1,284","687","1,915","762","981","710","506","970","655","2,122"

Footnotes:
1,"For seasonally adjusted values prior to the first quarter of 1981, please see terminated table 36-10-0047-01 (formely: CANSIM 376-0005)."
2,"Includes a general provision to cover legal, accounting and third-party management consulting until surveyed more specifically from 1995; also includes retail software exports before 1996."
3,"Before 2002, receipts of money market interest are included indistinguishably with other investment and not with portfolio investment."
4,"Prior to 1993, withholding tax applicable on payments of money market interest was included with interest on other investment. From 1993, it is included in interest on portfolio investment."
5,"Private transfers and other private transfers include the counterpart of adjustments for insurance claims volatility made in the insurance services."



"How to cite: Statistics Canada. Table 36-10-0018-01  Balance of international payments, current account, seasonally adjusted, quarterly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610001801